game,experiment,model_pretty,acronym,main_score,played_rate
hot_air_balloon,air_balloon_survival_de_complexity_easy,Claude Sonnet 4,CS4,0.0,0.0
hot_air_balloon,air_balloon_survival_de_complexity_easy,Claude Sonnet 4 (reasoning),CS4R,74.35634737936847,1.0
hot_air_balloon,air_balloon_survival_de_complexity_easy,DeepSeek Chat v3.1 (reasoning),DS3R,72.78777363599326,1.0
hot_air_balloon,air_balloon_survival_de_complexity_easy,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,49.155590572759664,0.6666666666666666
hot_air_balloon,air_balloon_survival_de_complexity_easy,GPT-5,G5,63.728048333174605,1.0
hot_air_balloon,air_balloon_survival_de_complexity_easy,GPT-5 (reasoning),G5R,100.0,1.0
hot_air_balloon,air_balloon_survival_de_complexity_easy,GPT-5 Mini,G5m,97.47277144298351,1.0
hot_air_balloon,air_balloon_survival_de_complexity_easy,GPT-5 Mini (reasoning),G5mR,99.88229321331762,1.0
hot_air_balloon,air_balloon_survival_de_complexity_easy,GPT-OSS 120B (reasoning),O120R,97.97556237125146,1.0
hot_air_balloon,air_balloon_survival_de_complexity_easy,LLaMA-3.3-70B Instruct,L70,30.680540370694008,1.0
hot_air_balloon,air_balloon_survival_de_complexity_easy,Nemotron-Nano 9B v2,NN9,22.169436057936966,0.6666666666666666
hot_air_balloon,air_balloon_survival_de_complexity_easy,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
hot_air_balloon,air_balloon_survival_de_complexity_easy,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_de_complexity_easy,Qwen3-Next-80B (reasoning),Q80R,97.50365283712871,0.8333333333333334
hot_air_balloon,air_balloon_survival_de_complexity_hard,Claude Sonnet 4,CS4,0.0,0.0
hot_air_balloon,air_balloon_survival_de_complexity_hard,Claude Sonnet 4 (reasoning),CS4R,67.63136744664153,1.0
