game,experiment,model_pretty,acronym,main_score,played_rate
hot_air_balloon,air_balloon_survival_en_complexity_easy,Claude Sonnet 4,CS4,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,Claude Sonnet 4 (reasoning),CS4R,73.23113822975864,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,DeepSeek Chat v3.1 (reasoning),DS3R,91.59649178547147,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,98.80789257330775,0.16666666666666666
hot_air_balloon,air_balloon_survival_en_complexity_easy,GPT-5,G5,82.42663015221629,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,GPT-5 (reasoning),G5R,99.96231844340916,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,GPT-5 Mini,G5m,81.91102441906675,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,GPT-5 Mini (reasoning),G5mR,100.0,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,GPT-OSS 120B (reasoning),O120R,98.61359153470346,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,LLaMA-3.3-70B Instruct,L70,28.99408115306956,1.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,Nemotron-Nano 9B v2,NN9,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_easy,Qwen3-Next-80B (reasoning),Q80R,97.69455119146284,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,Claude Sonnet 4,CS4,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,Claude Sonnet 4 (reasoning),CS4R,44.99910687363677,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,DeepSeek Chat v3.1 (reasoning),DS3R,49.12020824590406,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,GPT-5,G5,96.34194276118673,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,GPT-5 (reasoning),G5R,99.93010718556896,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,GPT-5 Mini,G5m,88.7019323550385,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,GPT-5 Mini (reasoning),G5mR,99.82918816990751,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,GPT-OSS 120B (reasoning),O120R,96.76014416780238,0.8333333333333334
hot_air_balloon,air_balloon_survival_en_complexity_hard,LLaMA-3.3-70B Instruct,L70,24.37383304747254,1.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,Nemotron-Nano 9B v2,NN9,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_en_complexity_hard,Qwen3-Next-80B (reasoning),Q80R,93.01756461140583,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,Claude Sonnet 4,CS4,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,Claude Sonnet 4 (reasoning),CS4R,94.15876270041188,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,DeepSeek Chat v3.1 (reasoning),DS3R,97.48486016097065,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,GPT-5,G5,99.77901819753811,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,GPT-5 (reasoning),G5R,100.0,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,GPT-5 Mini,G5m,99.86595312053862,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,GPT-5 Mini (reasoning),G5mR,99.9102585675024,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,GPT-OSS 120B (reasoning),O120R,99.9102585675024,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,LLaMA-3.3-70B Instruct,L70,58.79086111902719,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,Nemotron-Nano 9B v2,NN9,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_easy,Qwen3-Next-80B (reasoning),Q80R,99.59091077334843,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,Claude Sonnet 4,CS4,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,Claude Sonnet 4 (reasoning),CS4R,83.31728320168122,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,DeepSeek Chat v3.1 (reasoning),DS3R,88.18860295957448,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,GPT-5,G5,96.62205941124999,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,GPT-5 (reasoning),G5R,92.23805834180372,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,GPT-5 Mini,G5m,89.59397753455754,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,GPT-5 Mini (reasoning),G5mR,89.23439191441413,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,GPT-OSS 120B (reasoning),O120R,90.31449447697032,0.5
hot_air_balloon,air_balloon_survival_en_negotiation_hard,LLaMA-3.3-70B Instruct,L70,48.21722292028543,1.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,Nemotron-Nano 9B v2,NN9,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_en_negotiation_hard,Qwen3-Next-80B (reasoning),Q80R,70.83053305390146,0.6666666666666666
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,Claude Sonnet 4,CS4,85.34740318702814,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,Claude Sonnet 4 (reasoning),CS4R,95.44723774032843,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,DeepSeek Chat v3.1 (reasoning),DS3R,61.23333848870996,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,GPT-5,G5,85.25709879078049,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,GPT-5 (reasoning),G5R,100.0,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,GPT-5 Mini,G5m,86.71065090574473,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,GPT-5 Mini (reasoning),G5mR,100.0,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,GPT-OSS 120B (reasoning),O120R,100.0,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,LLaMA-3.3-70B Instruct,L70,49.42157131568566,0.8333333333333334
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,Nemotron-Nano 9B v2,NN9,0.0,0.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,Qwen3-Next-80B,Q80,63.172030706789556,0.8333333333333334
hot_air_balloon,air_balloon_survival_en_reasoning off_easy,Qwen3-Next-80B (reasoning),Q80R,99.99114103472715,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,Claude Sonnet 4,CS4,76.93536613848215,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,Claude Sonnet 4 (reasoning),CS4R,85.51379024560843,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,DeepSeek Chat v3.1 (reasoning),DS3R,70.95075944402463,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,0.0,0.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,GPT-5,G5,70.56853931344553,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,GPT-5 (reasoning),G5R,90.79824524121052,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,GPT-5 Mini,G5m,80.2217974207416,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,GPT-5 Mini (reasoning),G5mR,94.95834676045723,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,GPT-OSS 120B (reasoning),O120R,93.74451263623995,0.8333333333333334
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,LLaMA-3.3-70B Instruct,L70,43.26278556741965,1.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,Nemotron-Nano 9B v2,NN9,0.0,0.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,Qwen3-Next-80B,Q80,29.832250835139035,0.8333333333333334
hot_air_balloon,air_balloon_survival_en_reasoning off_hard,Qwen3-Next-80B (reasoning),Q80R,44.108824262228865,0.6666666666666666
