,game,model,experiment,episode,metric,value
44,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00004,Violated Request Count,0.0
45,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00004,Request Success Ratio,1.0
46,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00004,Aborted,0.0
47,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00004,Lose,0.0
48,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00004,Success,1.0
49,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00004,Violations Player 1,0.0
50,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00004,Violations Player 2,0.0
51,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00004,Total Violations,0.0
52,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00004,Normalized Utility Player 1,94.63934426229508
53,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00004,Normalized Utility Player 2,94.63934426229508
54,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00004,Harmonic Mean Score,94.63934426229508
55,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00004,Main Score,94.63934426229508
56,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Request Count,4.0
57,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Parsed Request Count,4.0
58,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Violated Request Count,0.0
59,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Request Success Ratio,1.0
60,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Aborted,0.0
61,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Lose,0.0
62,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Success,1.0
63,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Violations Player 1,0.0
64,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Violations Player 2,0.0
65,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Total Violations,0.0
66,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Normalized Utility Player 1,100.0
67,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Normalized Utility Player 2,100.0
68,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Harmonic Mean Score,100.0
69,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00001,Main Score,100.0
70,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Request Count,8.0
71,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Parsed Request Count,8.0
72,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Violated Request Count,0.0
73,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Request Success Ratio,1.0
74,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Aborted,0.0
